,x_absolute,y_absolute
255,12161.0,25939.0
256,69051.0,17760.0
257,61059.0,42204.0
258,75321.0,33646.0
259,11268.0,26857.0
260,55340.0,33865.0
261,13139.0,31550.0
262,69878.0,30813.0
263,5524.0,13812.0
264,9924.0,56133.0
265,71613.0,19184.0
266,13019.0,31155.0
267,74508.0,26728.0
268,77412.0,47236.0
269,40090.0,24590.0
270,68872.0,52524.0
271,6611.0,17129.0
272,10729.0,29570.0
273,69263.0,30299.0
274,53788.0,32615.0
275,51119.0,38961.0
276,57159.0,38104.0
277,17960.0,48614.0
278,81726.0,17304.0
279,76569.0,42045.0
280,59034.0,44976.0
281,60693.0,18717.0
282,76685.0,17225.0
283,81758.0,16208.0
284,65164.0,22786.0
285,50421.0,8581.0
286,35258.0,54949.0
287,11007.0,45688.0
288,80334.0,18336.0
289,61672.0,7405.0
290,58954.0,54103.0
291,76208.0,44064.0
292,5961.0,14602.0
293,66888.0,57775.0
294,80982.0,8568.0
295,59212.0,55652.0
296,81459.0,47958.0
297,38601.0,14814.0
298,65337.0,58418.0
299,80668.0,46101.0
300,64734.0,37096.0
301,79973.0,49564.0
302,60271.0,41102.0
303,9235.0,11955.0
304,79354.0,24218.0
305,77624.0,17823.0
306,69919.0,29338.0
307,66911.0,28950.0
308,79208.0,40993.0
309,67884.0,55636.0
310,8038.0,14842.0
311,10894.0,28036.0
312,10337.0,46769.0
313,59175.0,32773.0
314,78886.0,27439.0
315,68765.0,28801.0
316,78174.0,34324.0
317,16921.0,40070.0
318,65203.0,28160.0
319,12775.0,30970.0
320,63332.0,49374.0
321,5355.0,11336.0
322,72614.0,33996.0
323,81543.0,16356.0
324,7040.0,16815.0
325,82548.0,19415.0
326,79873.0,43644.0
327,13921.0,16213.0
328,8671.0,6718.0
329,68670.0,30342.0
330,7074.0,10021.0
331,61152.0,53094.0
332,73988.0,34524.0
333,75744.0,35027.0
334,13303.0,34053.0
335,73432.0,50571.0
336,54274.0,35429.0
337,66547.0,33922.0
338,87940.0,16802.0
339,62681.0,45618.0
340,53540.0,34337.0
341,80247.0,50721.0
342,69306.0,46102.0
343,71807.0,36385.0
344,5985.0,14926.0
345,47792.0,41713.0
346,11268.0,32109.0
347,72012.0,55888.0
348,68150.0,40844.0
349,80037.0,24682.0
350,64220.0,40875.0
351,65705.0,48972.0
352,70288.0,61114.0
353,13565.0,39706.0
354,77568.0,41692.0
355,72512.0,39648.0
356,79362.0,50315.0
357,74273.0,30574.0
358,69013.0,29693.0
359,69693.0,53671.0
360,79333.0,40851.0
361,70704.0,53512.0
362,69323.0,59200.0
363,68245.0,44518.0
364,57440.0,51231.0
365,62917.0,46359.0
366,81358.0,17919.0
367,62444.0,44107.0
368,77714.0,25425.0
369,72135.0,33292.0
370,65774.0,33212.0
371,81940.0,8920.0
372,66454.0,33909.0
373,13372.0,26703.0
374,10537.0,46021.0
375,71899.0,56547.0
376,74413.0,48332.0
377,9126.0,30350.0
378,73215.0,27225.0
379,57132.0,30979.0
380,84661.0,17129.0
381,12455.0,45878.0
382,72908.0,48985.0
383,63208.0,39942.0
384,80110.0,37586.0
385,79738.0,43029.0
386,68486.0,36992.0
387,65836.0,36005.0
388,74561.0,23684.0
389,69108.0,39863.0
390,62357.0,5581.0
391,76853.0,26210.0
392,69126.0,40666.0
393,58382.0,33647.0
394,13595.0,26978.0
395,65108.0,39728.0
396,12162.0,26755.0
397,10775.0,46604.0
398,72752.0,28665.0
399,33168.0,27217.0
400,60246.0,56098.0
401,62720.0,57158.0
402,55159.0,35119.0
403,60224.0,41120.0
404,46779.0,53333.0
405,44598.0,31165.0
406,55215.0,39919.0
407,11896.0,30795.0
408,72957.0,34744.0
409,62625.0,59606.0
410,59813.0,49223.0
411,75815.0,32774.0
412,72656.0,58678.0
413,65905.0,25680.0
414,12015.0,46832.0
415,8629.0,31171.0
416,74876.0,42154.0
417,59919.0,16929.0
418,76967.0,27381.0
419,76482.0,13987.0
420,12236.0,26637.0
421,8713.0,29984.0
422,78259.0,28349.0
423,59853.0,15228.0
424,65817.0,35965.0
425,64248.0,60031.0
426,56650.0,40791.0
427,6151.0,8518.0
428,69607.0,44472.0
429,10682.0,30055.0
430,9789.0,53181.0
431,72245.0,52760.0
432,68678.0,52997.0
433,13851.0,27997.0
434,13224.0,33336.0
435,79076.0,48531.0
436,16337.0,39021.0
437,10299.0,51828.0
438,69992.0,53197.0
439,61316.0,42590.0
440,73963.0,42756.0
441,37141.0,52864.0
442,77579.0,21223.0
443,23892.0,55343.0
444,72490.0,47513.0
445,77562.0,33733.0
446,11366.0,48325.0
447,71343.0,53328.0
448,71926.0,41518.0
449,67101.0,27614.0
450,8358.0,6717.0
451,68660.0,23401.0
452,70012.0,52446.0
453,64691.0,42262.0
454,68733.0,17100.0
455,19703.0,3739.0
456,67476.0,23617.0
457,66287.0,51083.0
458,69076.0,27580.0
459,74734.0,45679.0
460,82870.0,15714.0
461,87666.0,16105.0
462,66917.0,37064.0
463,73100.0,47461.0
464,85487.0,17352.0
465,59808.0,34146.0
466,56198.0,41304.0
467,72754.0,57879.0
468,58790.0,33706.0
469,77633.0,20058.0
470,67760.0,31494.0
471,72466.0,17488.0
472,13134.0,25171.0
473,55621.0,31212.0
474,8933.0,30206.0
475,70367.0,52421.0
476,87866.0,13894.0
477,60171.0,54569.0
478,84261.0,24050.0
479,62119.0,31564.0
480,11887.0,45945.0
481,10328.0,47178.0
482,77715.0,35558.0
483,66451.0,20567.0
484,75517.0,41317.0
485,10467.0,26300.0
486,64498.0,36000.0
